['-0.0000520622', '-0.0000192643', '0.3073238706', '0.9999999811', '-0.0001267419', '0.0001476147', '0.0000000719', '-0.0010795159', '0.0244449763', '-0.0567544417', '0.0017296087', '0.0244450237', '-0.0567545404', '-0.0007834898', '0.0244449105', '-0.0567560284', '0.0014337988', '0.0244449583', '-0.0567561277']
['-0.0129849990', '-0.0006779397', '0.4249394615', '0.9991301415', '-0.0004373335', '0.0416985457', '-0.0000184551', '-0.0895553179', '0.7967920588', '-1.4923515554', '0.0895442892', '0.7967287467', '-1.4923694817', '-0.0995325302', '0.9910138537', '-1.5027281045', '0.0994442590', '0.9910220625', '-1.5027741102']
['-0.0133115781', '-0.0006779401', '0.4178147269', '0.9990906826', '-0.0004373290', '0.0426335120', '-0.0000188645', '-0.0897066706', '0.7968034124', '-1.4924083499', '0.0896923211', '0.7967402987', '-1.4924261286', '-0.0995350420', '0.9911092943', '-1.5027041102', '0.0994470500', '0.9911185696', '-1.5027497369']
['-0.0136381160', '-0.0006779405', '0.4104458349', '0.9990505922', '-0.0004373248', '0.0435628585', '-0.0000192716', '-0.0898437615', '0.7968147448', '-1.4924647454', '0.0898265413', '0.7967518285', '-1.4924823769', '-0.0995375484', '0.9911905921', '-1.5026802200', '0.0994498347', '0.9912007098', '-1.5027254704']
['-0.0139646113', '-0.0006779410', '0.4028328040', '0.9990098869', '-0.0004373208', '0.0444865623', '-0.0000196763', '-0.0899656186', '0.7968260557', '-1.4925207348', '0.0899459854', '0.7967633359', '-1.4925382197', '-0.0995400493', '0.9912576126', '-1.5026564661', '0.0994526130', '0.9912683531', '-1.5027013432']
['-0.0142910607', '-0.0006779414', '0.3949756460', '0.9989685838', '-0.0004373169', '0.0454045926', '-0.0000200786', '-0.0900715661', '0.7968373448', '-1.4925763116', '0.0900499783', '0.7967748208', '-1.4925936508', '-0.0995425447', '0.9913104775', '-1.5026328787', '0.0994553846', '0.9913216288', '-1.5026773858']
['-0.0146174373', '-0.0006779419', '0.3868743461', '0.9989267107', '-0.0004373127', '0.0463166821', '-0.0000204782', '-0.0901610837', '0.7968486413', '-1.4926314353', '0.0901379931', '0.7967863125', '-1.4926486297', '-0.0995450330', '0.9913527782', '-1.5026096429', '0.0994581485', '0.9913641228', '-1.5026537830']
['-0.0149437039', '-0.0006779423', '0.3785288748', '0.9988843013', '-0.0004373084', '0.0472224633', '-0.0000208752', '-0.0902338788', '0.7968599726', '-1.4926860676', '0.0902097261', '0.7967978385', '-1.4927031184', '-0.0995475139', '0.9913895955', '-1.5025869273', '0.0994609027', '0.9914010200', '-1.5026307088']
['-0.0152698403', '-0.0006779428', '0.3699392150', '0.9988413813', '-0.0004373037', '0.0481217553', '-0.0000212695', '-0.0902900359', '0.7968713278', '-1.4927402147', '0.0902652442', '0.7968093879', '-1.4927571231', '-0.0995499874', '0.9914235379', '-1.5025646981', '0.0994636477', '0.9914349832', '-1.5026081296']
['-0.0155958361', '-0.0006779431', '0.3611053069', '0.9987979668', '-0.0004372978', '0.0490145870', '-0.0000216610', '-0.0903331600', '0.7968826572', '-1.4927938770', '0.0903080418', '0.7968209120', '-1.4928106456', '-0.0995524531', '0.9914559327', '-1.5025428856', '0.0994663828', '0.9914673680', '-1.5025859745']
['-0.0159216865', '-0.0006779434', '0.3520270569', '0.9987540670', '-0.0004372895', '0.0499011218', '-0.0000220493', '-0.0903694498', '0.7968939058', '-1.4928470511', '0.0903441698', '0.7968323562', '-1.4928636834', '-0.0995549102', '0.9914874528', '-1.5025214290', '0.0994691075', '0.9914988620', '-1.5025641813']
